"","X","Y"
"1",1414818.48962006,1071486.13248281
"2",1414465.65809695,1055556.44614025
"3",1418574.7129702,1068581.17668529
"4",1429610.77312952,1063670.20169839
"5",1440458.86214844,1063028.25776079
"6",1412571.29285118,1072025.60784279
"7",1410756.21951864,1073841.62068903
"8",1414038.54761035,1074658.42819945
"9",1405295.19454562,1063797.45208065
"10",1396454.82627753,1071000.05070608
"11",1389677.92029119,1081949.04908488
"12",1414280.65858636,1074876.01401561
"13",1425883.93595093,1076716.06450468
"14",1424584.35306261,1086745.78365972
"15",1415964.11523695,1080818.09361702
"16",1423513.48228374,1101778.30015382
"17",1407849.16529532,1069880.70483802
"18",1411842.26276252,1076113.59108181
"19",1405966.51144533,1076551.56525753
"20",1405646.35107834,1087720.46793357
"21",1410099.64897457,1097361.57519299
"22",1386452.90712687,1095255.85917247
"23",775484.804147218,1115733.38526757
"24",733209.016168487,1137802.59170633
"25",777121.723212161,1137407.80406662
"26",742089.096048454,1114551.38935101
"27",1504136.49001108,1031320.31238772
"28",1501651.64571772,1033329.25247899
"29",1508530.61010741,1037536.29675941
"30",1500396.59751229,1037233.65682296
"31",1498327.15521587,1031201.93075945
"32",1498217.78070127,1041571.6676784
"33",1486302.78190588,1028882.05019425
"34",1494011.79357049,1024934.56931146
"35",1493999.8080419,1030945.23103569
"36",1500160.16272412,1028022.85590845
"37",1502730.77520773,1030088.69346527
"38",1500688.62019368,1029827.70058645
"39",1518080.39581516,1032044.08053936
"40",1505481.93659991,1027765.52635041
"41",1499949.86371362,1029258.02152539
"42",1498633.72955557,1028450.54729788
"43",1492550.92003648,1016230.4663708
"44",1495949.62108989,1014054.39814466
"45",1535278.74817486,1010214.46321709
"46",1498796.62602733,1025194.74329282
"47",1497139.80566804,1027611.60155496
"48",1499636.21762252,1032279.27131166
"49",1495803.88624839,1037622.7312812
"50",1485919.9808397,1042697.46259771
"51",1479439.18111635,1039870.39793399
"52",1493576.64340597,1029534.46433786
"53",1492488.03165303,1034583.55496071
"54",1509424.30946943,1021904.36165514
"55",1507698.61804129,1009860.1808599
"56",1500868.38651266,1018652.5415482
"57",1497924.10872847,1021265.7414744
"58",1492035.95709092,1042685.1749787
"59",1527564.6176703,1024821.25971245
"60",1500108.80310033,1009749.07788608
"61",1517387.36635698,1010208.15659417
"62",1514777.97256724,1019921.38536748
"63",1500767.92210562,1023462.09487405
"64",1502476.74773861,1026578.21330007
"65",1496701.97749228,1032757.48911078
"66",1505305.36860567,1021592.77942842
"67",1497378.10235069,1019281.17051557
"68",1497121.54731992,1029480.98241528
"69",1501643.97243296,1028646.13099593
"70",1515125.26201757,1025083.01078729
"71",1530830.6493294,1012469.21340424
"72",1287482.12453598,648631.349655781
"73",1279347.47172046,656003.73783044
"74",1299432.37898299,652430.480530935
"75",1286459.64030608,665302.540549273
"76",1281942.76661307,646751.919177447
"77",1300335.3006144,676721.2465058
"78",1107808.2381988,1287397.37775028
"79",1129523.13420519,1291753.70236553
"80",1141611.89001731,1275279.3138645
"81",1140676.69807064,1259466.14240286
"82",1132261.76358133,1264448.43525746
"83",1122486.49068563,1262620.35728894
"84",1105484.44270621,1257207.84133566
"85",1134707.62331381,1283895.58566082
"86",1112663.87907394,1275081.13014899
"87",1135177.77252254,1295734.16749967
"88",1142349.79679446,1288935.18623136
"89",873532.151316607,1441689.03827637
"90",877177.104554202,1435574.214099
"91",891029.292178302,1423116.11532256
"92",871967.601931306,1415906.22481601
"93",861724.877223086,1403956.34186952
"94",869660.606682112,1438660.35051774
"95",858962.070146492,1436367.17420285
"96",860301.414662435,1424988.73347977
"97",1153738.3600099,754246.92282503
"98",1128316.85345801,780743.339950885
"99",1146128.82704561,758420.544128013
"100",1165730.17545138,732384.118821288
"101",1137962.2241349,773637.852023851
"102",1144386.59024638,729984.587726526
"103",1146523.45010737,772648.343763161
"104",1131400.20196061,764964.541032986
"105",1160905.60400632,759499.474762229
"106",1123059.08610075,770410.787540109
"107",1177372.11632427,738118.30199214
"108",1116901.89114835,786500.717789188
"109",1139321.66846898,752238.524449188
"110",1143381.61277709,742503.412381212
"111",1148373.99325085,763425.857723606
"112",1141180.22697993,767136.614995398
"113",1138214.14224293,762330.308938883
"114",1125453.9005835,741525.111162781
"115",1141638.45221117,751842.318179871
"116",1143477.5875413,758182.469121906
"117",1161708.17171075,746136.726952068
"118",1155218.98887006,768157.6236793
