"","V1","V2"
"1",1,3
"2",1,6
"3",1,12
"4",2,3
"5",2,4
"6",2,9
"7",2,5529
"8",2,5530
"9",2,5538
"10",2,6082
"11",3,1
"12",3,2
"13",3,4
"14",3,6
"15",3,9
"16",3,12
"17",3,13
"18",4,2
"19",4,3
"20",4,5
"21",4,13
"22",4,1537
"23",4,5529
"24",4,5530
"25",4,5532
"26",5,4
"27",5,1536
"28",5,1537
"29",5,5529
"30",5,5532
"31",6,1
"32",6,3
"33",6,7
"34",6,8
"35",6,9
"36",6,12
"37",7,6
"38",7,8
"39",7,9
"40",7,17
"41",7,18
"42",7,19
"43",8,6
"44",8,7
"45",8,12
"46",8,18
"47",9,2
"48",9,3
"49",9,6
"50",9,7
"51",9,10
"52",9,17
"53",9,19
"54",9,3624
"55",9,6082
"56",10,9
"57",10,11
"58",10,19
"59",10,3624
"60",11,10
"61",11,19
"62",11,20
"63",11,22
"64",11,3613
"65",11,3624
"66",12,1
"67",12,3
"68",12,6
"69",12,8
"70",12,13
"71",12,15
"72",12,18
"73",12,19
"74",13,3
"75",13,4
"76",13,12
"77",13,14
"78",13,15
"79",13,1528
"80",13,1537
"81",14,13
"82",14,15
"83",14,16
"84",14,21
"85",14,1528
"86",14,1542
"87",14,1543
"88",15,12
"89",15,13
"90",15,14
"91",15,19
"92",15,20
"93",15,21
"94",16,14
"95",16,21
"96",16,1539
"97",16,1543
"98",16,5187
"99",16,5188
"100",16,5190
"101",17,7
"102",17,9
"103",17,19
"104",18,7
"105",18,8
"106",18,12
"107",18,19
"108",19,7
"109",19,9
"110",19,10
"111",19,11
"112",19,12
"113",19,15
"114",19,17
"115",19,18
"116",19,20
"117",20,11
"118",20,15
"119",20,19
"120",20,21
"121",20,22
"122",21,14
"123",21,15
"124",21,16
"125",21,20
"126",21,22
"127",21,5183
"128",21,5190
"129",21,5191
"130",21,5196
"131",22,11
"132",22,20
"133",22,21
"134",22,3613
"135",22,3620
"136",22,5183
"137",22,5191
"138",23,24
"139",23,25
"140",23,26
"141",23,3055
"142",23,3064
"143",23,6413
"144",23,6419
"145",23,6514
"146",24,23
"147",24,25
"148",24,26
"149",24,3639
"150",24,3640
"151",25,23
"152",25,24
"153",25,3639
"154",25,3640
"155",25,6419
"156",26,23
"157",26,24
"158",26,3055
"159",26,3064
"160",26,9085
"161",26,9088
"162",27,28
"163",27,29
"164",27,37
"165",27,40
"166",27,64
"167",27,69
"168",28,27
"169",28,29
"170",28,30
"171",28,37
"172",28,48
"173",28,49
"174",28,53
"175",29,27
"176",29,28
"177",29,30
"178",29,32
"179",29,39
"180",29,40
"181",29,54
"182",29,6711
"183",29,6713
"184",30,28
"185",30,29
"186",30,32
"187",30,49
"188",31,35
"189",31,38
"190",31,41
"191",31,42
"192",31,48
"193",31,53
"194",31,65
"195",31,68
"196",32,29
"197",32,30
"198",32,49
"199",32,58
"200",32,6711
"201",33,34
"202",33,43
"203",33,50
"204",33,51
"205",33,52
"206",33,53
"207",33,5544
"208",33,8595
"209",33,8603
"210",34,33
"211",34,43
"212",34,46
"213",34,47
"214",34,52
"215",35,31
"216",35,52
"217",35,53
"218",35,68
"219",36,41
"220",36,42
"221",36,46
"222",36,69
"223",37,27
"224",37,28
"225",37,38
"226",37,48
"227",37,64
"228",37,69
"229",38,31
"230",38,37
"231",38,41
"232",38,48
"233",38,69
"234",39,29
"235",39,54
"236",39,59
"237",39,62
"238",39,70
"239",39,6713
"240",39,6716
"241",40,27
"242",40,29
"243",40,54
"244",40,64
"245",40,66
"246",41,31
"247",41,36
"248",41,38
"249",41,42
"250",41,69
"251",42,31
"252",42,36
"253",42,41
"254",42,46
"255",42,47
"256",42,68
"257",43,33
"258",43,34
"259",43,44
"260",43,46
"261",43,56
"262",43,57
"263",43,60
"264",43,67
"265",43,7070
"266",43,8595
"267",43,8603
"268",44,43
"269",44,56
"270",44,60
"271",45,59
"272",45,61
"273",45,62
"274",45,71
"275",45,5642
"276",45,5643
"277",45,5645
"278",45,6716
"279",45,7285
"280",45,7286
"281",45,8613
"282",46,34
"283",46,36
"284",46,42
"285",46,43
"286",46,47
"287",46,57
"288",46,63
"289",46,64
"290",46,69
"291",47,34
"292",47,42
"293",47,46
"294",47,52
"295",47,68
"296",48,28
"297",48,31
"298",48,37
"299",48,38
"300",48,49
"301",48,53
"302",48,69
"303",49,28
"304",49,30
"305",49,32
"306",49,48
"307",49,53
"308",49,58
"309",50,33
"310",50,51
"311",50,53
"312",50,58
"313",50,1534
"314",50,6698
"315",50,6711
"316",51,33
"317",51,50
"318",51,1534
"319",51,5544
"320",52,33
"321",52,34
"322",52,35
"323",52,47
"324",52,53
"325",52,68
"326",53,28
"327",53,31
"328",53,33
"329",53,35
"330",53,48
"331",53,49
"332",53,50
"333",53,52
"334",53,58
"335",53,65
"336",54,29
"337",54,39
"338",54,40
"339",54,55
"340",54,61
"341",54,62
"342",54,66
"343",55,54
"344",55,56
"345",55,60
"346",55,61
"347",55,66
"348",55,7070
"349",56,43
"350",56,44
"351",56,55
"352",56,60
"353",56,63
"354",56,66
"355",56,67
"356",57,43
"357",57,46
"358",57,63
"359",57,67
"360",58,32
"361",58,49
"362",58,50
"363",58,53
"364",58,6698
"365",58,6711
"366",59,39
"367",59,45
"368",59,62
"369",59,6716
"370",60,43
"371",60,44
"372",60,55
"373",60,56
"374",60,7070
"375",61,45
"376",61,54
"377",61,55
"378",61,62
"379",61,7070
"380",61,8613
"381",62,39
"382",62,45
"383",62,54
"384",62,59
"385",62,61
"386",62,70
"387",63,46
"388",63,56
"389",63,57
"390",63,64
"391",63,66
"392",63,67
"393",64,27
"394",64,37
"395",64,40
"396",64,46
"397",64,63
"398",64,66
"399",64,69
"400",65,31
"401",65,53
"402",66,40
"403",66,54
"404",66,55
"405",66,56
"406",66,63
"407",66,64
"408",67,43
"409",67,56
"410",67,57
"411",67,63
"412",68,31
"413",68,35
"414",68,42
"415",68,47
"416",68,52
"417",69,27
"418",69,36
"419",69,37
"420",69,38
"421",69,41
"422",69,46
"423",69,48
"424",69,64
"425",70,39
"426",70,62
"427",71,45
"428",72,73
"429",72,74
"430",72,76
"431",72,6797
"432",73,72
"433",73,74
"434",73,75
"435",73,76
"436",73,7187
"437",73,7193
"438",73,7305
"439",74,72
"440",74,73
"441",74,75
"442",74,77
"443",74,1362
"444",74,6797
"445",75,73
"446",75,74
"447",75,77
"448",75,7187
"449",76,72
"450",76,73
"451",76,6797
"452",76,7305
"453",77,74
"454",77,75
"455",77,1362
"456",77,7187
"457",77,7196
"458",78,79
"459",78,86
"460",78,178
"461",78,8896
"462",78,8901
"463",78,8959
"464",79,78
"465",79,83
"466",79,85
"467",79,86
"468",79,87
"469",79,88
"470",79,8896
"471",79,8901
"472",79,8902
"473",79,8909
"474",80,81
"475",80,82
"476",80,85
"477",80,88
"478",80,1566
"479",80,1567
"480",80,1571
"481",81,80
"482",81,82
"483",81,1571
"484",81,5632
"485",81,9140
"486",82,80
"487",82,81
"488",82,83
"489",82,85
"490",82,9140
"491",82,9141
"492",82,9143
"493",83,79
"494",83,82
"495",83,84
"496",83,85
"497",83,86
"498",83,9141
"499",83,9143
"500",84,83
"501",84,86
"502",84,178
"503",84,8285
"504",84,9143
"505",85,79
"506",85,80
"507",85,82
"508",85,83
"509",85,88
"510",86,78
"511",86,79
"512",86,83
"513",86,84
"514",86,178
"515",87,79
"516",87,8902
"517",87,8909
"518",88,79
"519",88,80
"520",88,85
"521",88,1566
"522",88,8902
"523",89,90
"524",89,91
"525",89,92
"526",89,94
"527",89,95
"528",89,1478
"529",89,1481
"530",90,89
"531",90,91
"532",90,92
"533",91,89
"534",91,90
"535",91,92
"536",91,1238
"537",91,1478
"538",91,1481
"539",91,3024
"540",91,3025
"541",91,3026
"542",91,3788
"543",92,89
"544",92,90
"545",92,91
"546",92,93
"547",92,94
"548",92,95
"549",92,96
"550",92,1238
"551",92,1240
"552",92,7133
"553",93,92
"554",93,1240
"555",93,7133
"556",93,7491
"557",93,7496
"558",94,89
"559",94,92
"560",94,95
"561",95,89
"562",95,92
"563",95,94
"564",95,96
"565",95,1481
"566",95,7099
"567",95,7121
"568",96,92
"569",96,95
"570",96,7121
"571",96,7133
"572",97,99
"573",97,105
"574",97,109
"575",97,111
"576",97,117
"577",97,118
"578",98,106
"579",98,119
"580",98,120
"581",98,308
"582",98,311
"583",98,312
"584",99,97
"585",99,109
"586",99,111
"587",99,113
"588",99,115
"589",99,116
"590",100,102
"591",100,107
