"","CNTYVTD.x","VTDKEY","Biden","Trump","CNTYVTD.y","VTD","vap","anglovap","nanglovap","FENAME"
"1",10001,1,357,791,10001,"0001",2340,1347,993,"ANDERSON"
"2",10002,2,205,1548,10002,"0002",2880,2453,427,"ANDERSON"
"3",10003,3,118,746,10003,"0003",1473,1151,322,"ANDERSON"
"4",10004,4,117,1031,10004,"0004",1821,1605,216,"ANDERSON"
"5",10005,5,12,203,10005,"0005",325,274,51,"ANDERSON"
"6",10006,6,389,388,10006,"0006",1588,656,932,"ANDERSON"
"7",10007,7,462,167,10007,"0007",2048,379,1669,"ANDERSON"
"8",10008,8,92,75,10008,"0008",735,256,479,"ANDERSON"
"9",10009,9,160,737,10009,"0009",1612,1194,418,"ANDERSON"
"10",10010,10,42,327,10010,"0010",6772,2529,4243,"ANDERSON"
"11",10011,11,202,643,10011,"0011",8373,3078,5295,"ANDERSON"
"12",10013,12,316,785,10013,"0013",2276,1399,877,"ANDERSON"
"13",10015,13,79,578,10015,"0015",1072,851,221,"ANDERSON"
"14",10016,14,106,519,10016,"0016",915,718,197,"ANDERSON"
"15",10017,15,127,489,10017,"0017",1082,698,384,"ANDERSON"
"16",10018,16,215,1211,10018,"0018",2249,1840,409,"ANDERSON"
"17",10019,17,346,1118,10019,"0019",2580,1628,952,"ANDERSON"
"18",10020,18,180,551,10020,"0020",1539,853,686,"ANDERSON"
"19",10021,19,183,1086,10021,"0021",2169,1717,452,"ANDERSON"
"20",10022,20,105,640,10022,"0022",1150,944,206,"ANDERSON"
"21",10023,21,99,876,10023,"0023",1395,1236,159,"ANDERSON"
"22",10024,22,43,601,10024,"0024",987,861,126,"ANDERSON"
"23",30001,23,184,1131,30001,"0001",3245,1338,1907,"ANDREWS"
"24",30002,24,207,1499,30002,"0002",3186,1832,1354,"ANDREWS"
"25",30003,25,230,1252,30003,"0003",3265,1333,1932,"ANDREWS"
"26",30004,26,228,1055,30004,"0004",3252,1133,2119,"ANDREWS"
"27",50001,27,121,163,50001,"0001",895,319,576,"ANGELINA"
"28",50002,28,996,349,50002,"0002",3768,788,2980,"ANGELINA"
"29",50003,29,219,968,50003,"0003",2723,1916,807,"ANGELINA"
"30",50004,30,424,702,50004,"0004",2215,1044,1171,"ANGELINA"
"31",50005,31,465,607,50005,"0005",2631,1214,1417,"ANGELINA"
