"","V1","V2"
"1",1,3
"2",1,6
"3",1,12
"4",1,13
"5",2,3
"6",2,4
"7",2,9
"8",2,5365
"9",2,5366
"10",2,5374
"11",2,5919
"12",3,1
"13",3,2
"14",3,4
"15",3,6
"16",3,9
"17",3,12
"18",3,13
"19",4,2
"20",4,3
"21",4,5
"22",4,13
"23",4,1342
"24",4,5365
"25",4,5366
"26",4,5368
"27",5,4
"28",5,1341
"29",5,1342
"30",5,5365
"31",5,5368
"32",6,1
"33",6,3
"34",6,7
"35",6,8
"36",6,9
"37",6,12
"38",7,6
"39",7,8
"40",7,9
"41",7,17
"42",7,18
"43",7,19
"44",8,6
"45",8,7
"46",8,12
"47",8,18
"48",9,2
"49",9,3
"50",9,6
"51",9,7
"52",9,10
"53",9,17
"54",9,19
"55",9,3455
"56",9,5919
"57",10,9
"58",10,11
"59",10,19
"60",10,3455
"61",11,10
"62",11,19
"63",11,20
"64",11,22
"65",11,3444
"66",11,3455
"67",12,1
"68",12,3
"69",12,6
"70",12,8
"71",12,13
"72",12,15
"73",12,18
"74",12,19
"75",13,1
"76",13,3
"77",13,4
"78",13,12
"79",13,14
"80",13,15
"81",13,1333
"82",13,1342
"83",14,13
"84",14,15
"85",14,16
"86",14,21
"87",14,1333
"88",14,1347
"89",14,1348
"90",15,12
"91",15,13
"92",15,14
"93",15,19
"94",15,20
"95",15,21
"96",16,14
"97",16,21
"98",16,1344
"99",16,1348
"100",16,5011
"101",16,5012
"102",16,5014
"103",17,7
"104",17,9
"105",17,19
"106",18,7
"107",18,8
"108",18,12
"109",18,19
"110",19,7
"111",19,9
"112",19,10
"113",19,11
"114",19,12
"115",19,15
"116",19,17
"117",19,18
"118",19,20
"119",20,11
"120",20,15
"121",20,19
"122",20,21
"123",20,22
"124",21,14
"125",21,15
"126",21,16
"127",21,20
"128",21,22
"129",21,5007
"130",21,5014
"131",21,5015
"132",21,5020
"133",22,11
"134",22,20
"135",22,21
"136",22,3444
"137",22,3451
"138",22,5007
"139",22,5015
"140",23,24
"141",23,25
"142",23,26
"143",23,2881
"144",23,2890
"145",23,6245
"146",23,6249
"147",23,6340
"148",24,23
"149",24,25
"150",24,26
"151",24,3470
"152",24,3471
"153",25,23
"154",25,24
"155",25,3470
"156",25,3471
"157",25,6249
"158",26,23
"159",26,24
"160",26,2881
"161",26,2890
"162",26,8931
"163",26,8934
"164",27,28
"165",27,29
"166",27,37
"167",27,40
"168",27,63
"169",27,68
"170",28,27
"171",28,29
"172",28,30
"173",28,37
"174",28,48
"175",28,49
"176",28,53
"177",29,27
"178",29,28
"179",29,30
"180",29,32
"181",29,39
"182",29,40
"183",29,54
"184",29,6552
"185",29,6554
"186",30,28
"187",30,29
"188",30,32
"189",30,49
"190",31,35
"191",31,38
"192",31,41
"193",31,42
"194",31,48
"195",31,53
"196",31,64
"197",31,67
"198",32,29
"199",32,30
"200",32,49
"201",32,57
"202",32,6552
"203",33,34
"204",33,43
"205",33,50
"206",33,51
"207",33,52
"208",33,53
"209",33,5380
"210",33,8436
"211",33,8444
"212",34,33
"213",34,43
"214",34,46
"215",34,47
"216",34,52
"217",35,31
"218",35,52
"219",35,53
"220",35,67
"221",36,41
"222",36,42
"223",36,46
"224",36,68
"225",37,27
"226",37,28
"227",37,38
"228",37,48
"229",37,63
"230",37,68
"231",38,31
"232",38,37
"233",38,41
"234",38,48
"235",38,68
"236",39,29
"237",39,54
"238",39,58
"239",39,61
"240",39,69
"241",39,6554
"242",39,6557
"243",40,27
"244",40,29
"245",40,54
"246",40,63
"247",40,65
"248",41,31
"249",41,36
"250",41,38
"251",41,42
"252",41,68
"253",42,31
"254",42,36
"255",42,41
"256",42,46
"257",42,47
"258",42,67
"259",43,33
"260",43,34
"261",43,44
"262",43,46
"263",43,56
"264",43,59
"265",43,66
"266",43,6912
"267",43,8436
"268",43,8444
"269",44,43
"270",44,56
"271",44,59
"272",45,58
"273",45,60
"274",45,61
"275",45,70
"276",45,5478
"277",45,5479
"278",45,5481
"279",45,6557
"280",45,7125
"281",45,7126
"282",45,8454
"283",46,34
"284",46,36
"285",46,42
"286",46,43
"287",46,47
"288",46,56
"289",46,62
"290",46,68
"291",47,34
"292",47,42
"293",47,46
"294",47,52
"295",47,67
"296",48,28
"297",48,31
"298",48,37
"299",48,38
"300",48,49
"301",48,53
"302",48,68
"303",49,28
"304",49,30
"305",49,32
"306",49,48
"307",49,53
"308",49,57
"309",50,33
"310",50,51
"311",50,53
"312",50,57
"313",50,1339
"314",50,6539
"315",50,6552
"316",51,33
"317",51,50
"318",51,1339
"319",51,5380
"320",52,33
"321",52,34
"322",52,35
"323",52,47
"324",52,53
"325",52,67
"326",53,28
"327",53,31
"328",53,33
"329",53,35
"330",53,48
"331",53,49
"332",53,50
"333",53,52
"334",53,57
"335",53,64
"336",54,29
"337",54,39
"338",54,40
"339",54,55
"340",54,60
"341",54,61
"342",54,65
"343",55,54
"344",55,56
"345",55,59
"346",55,60
"347",55,65
"348",55,6912
"349",56,43
"350",56,44
"351",56,46
"352",56,55
"353",56,59
"354",56,62
"355",56,65
"356",56,66
"357",57,32
"358",57,49
"359",57,50
"360",57,53
"361",57,6539
"362",57,6552
"363",58,39
"364",58,45
"365",58,61
"366",58,6557
"367",59,43
"368",59,44
"369",59,55
"370",59,56
"371",59,6912
"372",60,45
"373",60,54
"374",60,55
"375",60,61
"376",60,6912
"377",60,8454
"378",61,39
"379",61,45
"380",61,54
"381",61,58
"382",61,60
"383",61,69
"384",62,46
"385",62,56
"386",62,63
"387",62,65
"388",62,68
"389",63,27
"390",63,37
"391",63,40
"392",63,62
"393",63,65
"394",63,68
"395",64,31
"396",64,53
"397",65,40
"398",65,54
"399",65,55
"400",65,56
"401",65,62
"402",65,63
"403",66,43
"404",66,56
"405",67,31
"406",67,35
"407",67,42
"408",67,47
"409",67,52
"410",68,27
"411",68,36
"412",68,37
"413",68,38
"414",68,41
"415",68,46
"416",68,48
"417",68,62
"418",68,63
"419",69,39
"420",69,61
"421",70,45
"422",71,72
"423",71,73
"424",71,75
"425",71,6638
"426",72,71
"427",72,73
"428",72,74
"429",72,75
"430",72,7029
"431",72,7035
"432",72,7145
"433",73,71
"434",73,72
"435",73,74
"436",73,76
"437",73,1270
"438",73,6638
"439",74,72
"440",74,73
"441",74,76
"442",74,7029
"443",75,71
"444",75,72
"445",75,6638
"446",75,7145
"447",76,73
"448",76,74
"449",76,1270
"450",76,7029
"451",76,7038
"452",77,78
"453",77,85
"454",77,177
"455",77,8738
"456",77,8743
"457",78,77
"458",78,82
"459",78,84
"460",78,85
"461",78,86
"462",78,87
"463",78,8738
"464",78,8743
"465",78,8744
"466",78,8751
"467",78,8752
"468",79,80
"469",79,81
"470",79,84
"471",79,87
"472",79,1371
"473",79,1372
"474",79,1376
"475",80,79
"476",80,81
"477",80,1376
"478",80,5468
"479",80,8986
"480",81,79
"481",81,80
"482",81,82
"483",81,84
"484",81,8986
"485",81,8987
"486",81,8989
"487",82,78
"488",82,81
"489",82,83
"490",82,84
"491",82,85
"492",82,8987
"493",82,8989
"494",83,82
"495",83,85
"496",83,177
"497",83,8126
"498",83,8989
"499",84,78
"500",84,79
"501",84,81
"502",84,82
"503",84,87
"504",85,77
"505",85,78
"506",85,82
"507",85,83
"508",85,177
"509",86,78
"510",86,8744
"511",86,8745
"512",86,8751
"513",86,8752
"514",87,78
"515",87,79
"516",87,84
"517",87,1371
"518",87,8744
"519",88,89
"520",88,90
"521",88,91
"522",88,93
"523",88,94
"524",88,1283
"525",88,1286
"526",89,88
"527",89,90
"528",89,91
"529",90,88
"530",90,89
"531",90,91
"532",90,1148
"533",90,1283
"534",90,1286
"535",90,2850
"536",90,2851
"537",90,2852
"538",90,3618
"539",91,88
"540",91,89
"541",91,90
"542",91,92
"543",91,93
"544",91,94
"545",91,95
"546",91,1148
"547",91,1150
"548",91,6975
"549",92,91
"550",92,1150
"551",92,6975
"552",92,7330
"553",92,7335
"554",93,88
"555",93,91
"556",93,94
"557",94,88
"558",94,91
"559",94,93
"560",94,95
"561",94,1286
"562",94,6941
"563",94,6963
"564",95,91
"565",95,94
"566",95,6963
"567",95,6975
"568",96,98
"569",96,104
"570",96,108
"571",96,110
"572",96,116
"573",96,117
"574",97,105
"575",97,118
"576",97,119
"577",97,307
"578",97,310
"579",98,96
"580",98,108
"581",98,110
"582",98,112
"583",98,114
"584",98,115
"585",99,101
"586",99,106
"587",99,116
"588",99,5691
"589",99,5990
"590",99,5991
