,Trump,Biden,District_Number,Trump_Percent,Biden_Percent,Winner
1,19,8,27,0.703703704,0.296296296,Trump
2,19,8,27,0.703703704,0.296296296,Trump
3,19,9,28,0.678571429,0.321428571,Trump
4,17,11,28,0.607142857,0.392857143,Trump
5,17,11,28,0.607142857,0.392857143,Trump
6,18,11,29,0.620689655,0.379310345,Trump
7,20,9,29,0.689655172,0.310344828,Trump
8,20,9,29,0.689655172,0.310344828,Trump
9,18,11,29,0.620689655,0.379310345,Trump
10,18,11,29,0.620689655,0.379310345,Trump
11,19,10,29,0.655172414,0.344827586,Trump
12,20,9,29,0.689655172,0.310344828,Trump
13,20,9,29,0.689655172,0.310344828,Trump
14,19,11,30,0.633333333,0.366666667,Trump
15,18,12,30,0.6,0.4,Trump
16,21,9,30,0.7,0.3,Trump
17,21,9,30,0.7,0.3,Trump
18,19,11,30,0.633333333,0.366666667,Trump
19,21,9,30,0.7,0.3,Trump
20,21,9,30,0.7,0.3,Trump
21,19,11,30,0.633333333,0.366666667,Trump
22,19,11,30,0.633333333,0.366666667,Trump
23,17,13,30,0.566666667,0.433333333,Trump
24,17,13,30,0.566666667,0.433333333,Trump
25,17,13,30,0.566666667,0.433333333,Trump
26,18,12,30,0.6,0.4,Trump
27,18,12,30,0.6,0.4,Trump
28,18,12,30,0.6,0.4,Trump
29,17,13,30,0.566666667,0.433333333,Trump
30,16,14,30,0.533333333,0.466666667,Trump
31,16,14,30,0.533333333,0.466666667,Trump
32,17,13,30,0.566666667,0.433333333,Trump
33,17,13,30,0.566666667,0.433333333,Trump
34,19,11,30,0.633333333,0.366666667,Trump
35,20,10,30,0.666666667,0.333333333,Trump
36,20,10,30,0.666666667,0.333333333,Trump
37,18,12,30,0.6,0.4,Trump
38,17,13,30,0.566666667,0.433333333,Trump
39,17,13,30,0.566666667,0.433333333,Trump
40,18,12,30,0.6,0.4,Trump
41,18,12,30,0.6,0.4,Trump
42,17,13,30,0.566666667,0.433333333,Trump
43,16,14,30,0.533333333,0.466666667,Trump
44,17,13,30,0.566666667,0.433333333,Trump
45,17,13,30,0.566666667,0.433333333,Trump
46,17,13,30,0.566666667,0.433333333,Trump
47,17,13,30,0.566666667,0.433333333,Trump
48,16,14,30,0.533333333,0.466666667,Trump
49,16,14,30,0.533333333,0.466666667,Trump
50,17,13,30,0.566666667,0.433333333,Trump
51,16,14,30,0.533333333,0.466666667,Trump
52,16,14,30,0.533333333,0.466666667,Trump
53,16,14,30,0.533333333,0.466666667,Trump
54,17,13,30,0.566666667,0.433333333,Trump
55,17,13,30,0.566666667,0.433333333,Trump
56,18,12,30,0.6,0.4,Trump
57,18,12,30,0.6,0.4,Trump
58,17,13,30,0.566666667,0.433333333,Trump
59,15,15,30,0.5,0.5,Tie
60,16,14,30,0.533333333,0.466666667,Trump
61,16,14,30,0.533333333,0.466666667,Trump
62,16,14,30,0.533333333,0.466666667,Trump
63,17,13,30,0.566666667,0.433333333,Trump
64,15,15,30,0.5,0.5,Tie
65,14,16,30,0.466666667,0.533333333,Biden
66,15,15,30,0.5,0.5,Tie
67,16,14,30,0.533333333,0.466666667,Trump
68,17,13,30,0.566666667,0.433333333,Trump
69,17,13,30,0.566666667,0.433333333,Trump
70,17,13,30,0.566666667,0.433333333,Trump
71,17,13,30,0.566666667,0.433333333,Trump
72,17,13,30,0.566666667,0.433333333,Trump
73,17,13,30,0.566666667,0.433333333,Trump
74,17,13,30,0.566666667,0.433333333,Trump
75,18,12,30,0.6,0.4,Trump
76,17,13,30,0.566666667,0.433333333,Trump
77,16,14,30,0.533333333,0.466666667,Trump
78,17,13,30,0.566666667,0.433333333,Trump
79,17,13,30,0.566666667,0.433333333,Trump
